feature,corr_with_target,abs_corr
std_order_value_lookback,0.8357299591852173,0.8357299591852173
orders_60d,0.6902211972176306,0.6902211972176306
orders_90d,0.6860768922006206,0.6860768922006206
orders_lookback,0.6782943465266821,0.6782943465266821
order_count_lifetime,0.6782943465266821,0.6782943465266821
revenue_lookback,0.6740798651481256,0.6740798651481256
revenue_lifetime,0.6740798651481256,0.6740798651481256
orders_30d,0.6422406518597632,0.6422406518597632
avg_order_value_lookback,0.21419928610516673,0.21419928610516673
avg_items_per_order_lookback,0.2109555619961332,0.2109555619961332
cancel_ratio_lookback,-0.05870109165938158,0.05870109165938158
promo_order_ratio_lookback,0.0,0.0
review_count_lifetime,0.0,0.0
