model,rank_test_score,mean_test_score,std_test_score,mean_fit_time,param_clf__C,param_clf__max_depth,param_clf__max_features,param_clf__min_samples_leaf,param_clf__n_estimators,param_clf__l2_regularization,param_clf__learning_rate,param_clf__max_iter,param_clf__max_leaf_nodes
extra_trees,1,0.9878223655398948,0.010293244786249873,0.3068636655807495,,10,sqrt,1.0,759.0,,,,
extra_trees,2,0.9873203042537593,0.007555467962786578,0.31599974632263184,,,0.8,2.0,645.0,,,,
extra_trees,3,0.9869684957963446,0.006513641372164416,0.22888201475143433,,10,0.8,9.0,430.0,,,,
extra_trees,4,0.9866843269387431,0.006227272697273661,0.3934197425842285,,14,0.8,8.0,963.0,,,,
extra_trees,5,0.9864975159807939,0.008907747333929713,0.2914556860923767,,,0.5,2.0,687.0,,,,
extra_trees,6,0.98639359929793,0.008266925165042023,0.5725052356719971,,10,0.8,3.0,866.0,,,,
extra_trees,7,0.986043363052705,0.007099803838569661,0.13915646076202393,,14,0.5,7.0,320.0,,,,
extra_trees,8,0.9852719576097703,0.008373276817031395,0.27593791484832764,,8,0.5,11.0,758.0,,,,
hist_gradient_boosting,1,0.9924376470909071,0.005122277932727583,0.2115689516067505,,3,,18.0,,0.0002520795953048919,0.04263545756494204,208.0,28.0
hist_gradient_boosting,2,0.988138352556923,0.007884677104654115,0.2168043851852417,,5,,33.0,,7.45934328572655e-06,0.2133249073808361,191.0,35.0
hist_gradient_boosting,3,0.9874385378458447,0.008239210730844704,0.12540292739868164,,3,,32.0,,0.00206784093978395,0.07435897400799901,152.0,62.0
hist_gradient_boosting,4,0.987288998842037,0.009131236141959494,0.5448850393295288,,7,,24.0,,4.206039057901994e-05,0.0362227693313661,307.0,30.0
hist_gradient_boosting,5,0.9860119298150485,0.007995727042103596,0.3156914710998535,,3,,37.0,,0.0008930539642879289,0.07032272518327597,350.0,55.0
hist_gradient_boosting,6,0.9841171250391996,0.011442741990911382,0.3182179927825928,,7,,53.0,,1.201797402730995e-07,0.02102692262528672,486.0,21.0
hist_gradient_boosting,7,0.981140025492891,0.008577952931122512,0.19068652391433716,,5,,44.0,,9.853225172032548e-07,0.010179339249686656,200.0,22.0
hist_gradient_boosting,8,0.9807198168158014,0.006916614031455719,0.11213600635528564,,3,,58.0,,0.009142349009056935,0.07297970557223644,141.0,58.0
logistic_regression,1,0.9874287818585264,0.008106867012021866,0.003115534782409668,0.9846738873614566,,,,,,,,
logistic_regression,2,0.9871999308484255,0.00798338220355215,0.003006458282470703,1.0129197956845732,,,,,,,,
logistic_regression,3,0.9848660125689017,0.009370130286220198,0.0035843849182128906,4.5705630998014515,,,,,,,,
logistic_regression,3,0.9848660125689017,0.009370130286220198,0.003442108631134033,3.4702669886504163,,,,,,,,
logistic_regression,5,0.9808654411818575,0.012055260873482961,0.01914900541305542,0.0745934328572655,,,,,,,,
logistic_regression,6,0.9795312584042375,0.011845910113661925,0.004642844200134277,21.42302175774105,,,,,,,,
logistic_regression,7,0.9739218184678515,0.015694171253322033,0.0059397220611572266,56.69849511478853,,,,,,,,
logistic_regression,8,0.973910508230148,0.015591116160225365,0.006098508834838867,70.72114131472235,,,,,,,,
random_forest,1,0.9839484801566903,0.012453231045500258,0.6197001934051514,,,0.5,2.0,637.0,,,,
random_forest,2,0.9837099279427635,0.009547220010766931,0.5067939162254333,,14,log2,8.0,741.0,,,,
random_forest,3,0.9833525866254551,0.008679630303453595,0.19595777988433838,,10,sqrt,11.0,321.0,,,,
random_forest,4,0.9831534781496983,0.010235834173343094,0.374750018119812,,14,sqrt,7.0,371.0,,,,
random_forest,5,0.9795687731373934,0.017788568995416063,0.5168020129203796,,,0.8,2.0,595.0,,,,
random_forest,6,0.9791320250232349,0.018536526026320405,0.696363627910614,,10,0.8,3.0,816.0,,,,
random_forest,7,0.9777329188973035,0.014522626071545166,0.5489324927330017,,8,0.5,11.0,708.0,,,,
random_forest,8,0.9764615599719664,0.017795511381084237,0.184950590133667,,14,0.5,7.0,270.0,,,,
